,stateabbr,statedesc,placename,totalpopulation,access2_crudeprev,arthritis_crudeprev,binge_crudeprev,bphigh_crudeprev,bpmed_crudeprev,cancer_crudeprev,casthma_crudeprev,cervical_crudeprev,chd_crudeprev,checkup_crudeprev,cholscreen_crudeprev,colon_screen_crudeprev,copd_crudeprev,corem_crudeprev,corew_crudeprev,csmoking_crudeprev,dental_crudeprev,depression_crudeprev,diabetes_crudeprev,ghlth_crudeprev,highchol_crudeprev,kidney_crudeprev,lpa_crudeprev,mammouse_crudeprev,mhlth_crudeprev,obesity_crudeprev,phlth_crudeprev,sleep_crudeprev,stroke_crudeprev,teethlost_crudeprev
4497,FL,Florida,Sharpes,3411,18.4,28.5,14.4,37.7,77.9,8.0,9.5,80.7,9.0,76.8,86.6,67.6,10.9,35.2,31.5,20.1,57.1,20.6,13.2,18.6,35.9,3.8,27.4,75.5,15.6,34.8,13.7,33.8,4.3,16.1
4499,FL,Florida,Hallandale Beach,37113,26.7,26.7,12.1,36.8,79.0,8.0,8.4,81.4,8.7,77.3,88.7,73.3,9.3,31.4,30.9,16.9,57.6,16.8,13.9,20.6,35.8,4.1,30.7,79.4,14.5,30.3,13.3,35.4,4.3,14.8
4508,FL,Florida,DeLand,27041,21.8,28.1,15.3,35.5,76.1,7.5,9.4,77.8,8.0,75.7,86.4,72.6,9.2,45.2,33.6,19.2,52.6,20.5,12.2,18.7,32.7,3.7,28.0,77.6,16.4,33.0,12.8,35.3,4.1,18.1
4512,FL,Florida,Burnt Store Marina,1793,9.7,37.9,9.0,46.0,86.3,14.2,7.2,82.8,11.6,84.7,96.1,83.3,9.5,49.9,50.2,9.8,77.2,14.8,14.1,13.9,44.9,4.4,19.7,77.3,9.0,23.2,11.3,23.8,4.4,7.3
4513,FL,Florida,Pace,20039,17.0,24.5,16.4,33.0,71.6,6.4,8.7,80.4,5.9,72.7,86.6,72.1,7.6,51.5,40.9,20.6,60.4,20.5,9.3,13.9,32.3,2.6,25.3,75.9,16.7,30.2,10.9,34.1,2.8,12.7
4515,FL,Florida,Spring Ridge,398,22.2,30.9,14.3,40.1,77.9,8.3,9.5,78.5,9.4,77.5,87.0,67.3,12.3,35.7,31.1,23.0,52.4,21.3,13.6,21.5,38.6,3.9,30.7,72.8,16.3,35.6,15.3,34.9,4.6,20.1
4516,FL,Florida,Warrington,14531,23.1,28.1,14.1,37.6,75.0,6.5,9.8,76.5,7.5,77.6,84.5,68.4,10.1,39.0,32.6,23.4,51.0,22.6,12.3,20.6,32.9,3.5,29.4,76.0,17.6,36.8,14.2,36.4,4.1,18.5
4521,FL,Florida,Bayshore Gardens,16323,27.1,31.3,12.7,39.2,79.9,8.9,9.1,77.2,10.3,77.7,86.7,70.7,12.2,33.2,35.0,21.1,53.5,19.6,14.3,22.2,36.3,4.3,31.4,71.9,15.5,32.3,15.4,33.9,5.1,21.0
4532,FL,Florida,Kensington Park,3880,25.9,26.8,14.9,34.1,76.4,7.5,8.6,80.5,8.1,74.7,87.3,68.6,9.7,37.9,36.4,19.6,58.2,19.6,12.2,19.7,30.6,3.7,28.5,73.6,15.9,30.2,13.5,36.4,4.1,17.5
4545,FL,Florida,Biscayne Park,3074,22.7,20.1,14.7,29.9,72.5,5.4,8.3,82.6,5.3,75.1,87.1,70.8,6.3,35.7,31.3,16.1,62.2,16.4,10.8,16.2,29.4,2.8,27.4,76.0,15.0,28.2,11.0,36.3,2.8,12.6
